DateTime,News
2017-06-02 06:00:00,Where the Bulls Run Fastest: Emerging Stock Markets
2017-06-22 08:43:00,Brazil regulators postpone ruling on Ultrapar purchase of ALE
2017-08-02 01:42:00,Brazil\'s Cade unanimously rejects Alesat takeover by Ultrapar
2017-08-02 06:03:00,Brazil\'s Alesat ponders ways to fund expansion after takeover blocked-CEO
2017-08-02 07:31:00,Ultrapar shares tumble as Brazil blocks fuel distributor Ale takeover
2017-08-02 11:56:00,Brazil antitrust watchdog Cade defends rejection of Ale takeover by Ultrapar
2017-08-11 08:20:00,New Strong Sell Stocks for August 11th
2017-09-06 03:04:00,"Brazil\'s antitrust watchdog fines LPG cos over price fixing, cartel formation"
2017-09-12 01:41:00,"Ultrapar Participa\xc3\xa7oes SA :UGP-US: Earnings Analysis: Q2, 2017 By the Numbers : September 12, 2017"
2017-09-18 04:03:00,"Ultrapar Participa\xc3\xa7oes SA : UGP-US: Dividend Analysis : August 21st, 2017 (record date) : By the numbers : September 18, 2017"
2017-09-22 08:43:00,Why Ultrapar Participacoes (UGP) Could Be Positioned for a Surge?
2017-10-16 09:30:00,Cheniere Energy\'s (CQP) Sabine Pass Train 4 Comes Online
2017-10-18 10:28:00,New Strong Buy Stocks for October 18th
2017-10-27 08:43:00,MPLX LP (MPLX) Surges: Stock Moves 5.1% Higher
2017-11-29 12:53:00,The 25 most potent corporate reputations in Brazil contribute US$180 billion of shareholder value
2017-12-14 09:45:00,"Ultrapar Participa\xc3\xa7oes SA :UGP-US: Earnings Analysis: Q3, 2017 By the Numbers : December 14, 2017"
2018-01-09 09:30:00,TransCanada (TRP) to Proceed With $6 Billion PRGT Project
2018-03-12 10:53:00,"Brazil\'s Petrobras to consider LPG unit sale, IPO -source"
2018-03-20 10:46:00,"Vitol, Total in talks to acquire Brazil\'s Alesat"
2018-04-09 02:15:00,MARKET ANNOUNCEMENT - Ultrapar announces filing of its 2017 Form 20-F
2018-06-13 07:25:00,Valero Energy and Three Additional Stocks Under Scanner in the Oil & Gas Space
2018-07-02 07:50:00,"Factors of Influence in 2018, Key Indicators and Opportunity within Antero Midstream, Generac Holdings, Town Sports International, Mesa Laboratories, Ultrapar Participacoes, and United Microelectronics  New Research Emphasizes Economic Growth"
2018-07-13 07:30:00,PBF Energy and Three Additional Oil & Gas Stocks on Our Research Desk\'s Radar
2018-08-02 01:49:00,"EMERGING MARKETS-Brazil stocks track US share, crude prices higher"
2018-08-02 10:00:00,Ultrapar Participacoes S.A. Sponsored ADR to Host Earnings Call
2018-10-19 08:45:00,"Investor Expectations to Drive Momentum within Ultrapar Participacoes S.A, BioSpecifics Technologies, GSV Capital, 58, Mitel Networks, and Amarin  Discovering Underlying Factors of Influence"
2018-12-09 07:40:00,Is Penumbra Inc (PEN) A Good Investment According To Hedge Funds?
2018-12-19 03:16:00,7 Stocks to Buy That Suffered Double-Digit Drops
2019-03-12 07:35:00,Encouraging Near-Term Outlook for Oil & Gas Pipeline Industry
2019-03-14 11:05:00,5 Reasons to Invest in Kinder Morgan (KMI) Stock Right Now
2019-03-20 09:35:00,BP May Employ Solar Energy to Power American Operations
2019-03-22 05:53:00,Enterprise Products-CME Unite for Second Oil Export Auction
2019-03-26 11:21:00,Schlumberger Refrains From Inking Fresh Field Management Pacts
2019-03-28 09:05:00,Enbridge\'s Line 3 Wins Final Approval From Minnesota PUC
2019-04-12 09:31:00,"CVC Capital, Itausa interested in Brazil\'s Petrobras LPG distribution unit- sources"
2019-04-22 09:29:00,MARKET ANNOUNCEMENT - Ultrapar announces filing of its 2018 Form 20-F
2019-05-07 04:52:00,Ipiranga Produtos de Petroleo S.A. -- Moody\'s announces completion of a periodic review of ratings of Ultrapar Participacoes S.A.
2019-05-16 06:21:00,Ultrapar Participa\xc3\xa7\xc3\xb5es S.A. (UGP) Q4 2019 Earnings Call Transcript
,More Signs of Brazilian Recovery
,Brazilian Recovery Underway
,Ipiranga Deal Impacts UGP Numbers
