DateTime,News
2012-06-29 11:26:00,"Friday Sector Leaders: Precious Metals, Non-Precious Metals & Non-Metallic Mining Stocks"
2012-06-29 11:50:00,"[video] Friday Sector Leaders: Precious Metals, Non-Precious Metals & Non-Metallic Mining Stocks"
2012-07-10 03:40:00,Brazil stocks drop on China slowdown worries
2012-07-16 05:01:00,Gerdau SA (GGB): Today\'s Featured Basic Materials Loser
2012-07-17 03:48:00,Short Sellers Are Having a Field Day With This Steel 6-Pack
2012-07-18 04:05:00,Bullish Two Hundred Day Moving Average Cross - GGB
2012-07-20 03:00:00,Brazilian stocks fall on rekindled Europe worries
2012-07-20 12:21:00,5 High-Growth Large Caps Trading Below Fair Value
2012-07-23 11:30:00,Praxair\'s Plant in Colombia
2012-07-26 03:06:00,"Brazil stocks rise on euro pledge, but Vale sags"
2012-07-26 06:37:00,Brazilian stocks rise on euro pledge
2012-07-27 01:01:00,Steel Industry Overly Depressed: 3 Stocks To Consider
2012-07-27 08:25:00,Analyst Research on Steel Dynamics Inc. and Gerdau S.A. - Steel & Iron Companies Struggling to Remain Solid
2012-08-02 02:13:00,Brazil\'s Gerdau CEO sees EBITDA margins stable this year
2012-08-02 07:20:00,Gerdau\'s second-quarter net income beats estimates
2012-08-02 08:06:00,"UPDATE 1-Gerdau profit beats estimates, to resume Mexico plans"
2012-08-02 10:43:00,"Gerdau says mining unit stake sale, IPO within schedule"
2012-08-02 11:44:00,UPDATE 3-Gerdau sees Brazil recovery as profit beats estimates
2012-08-03 10:59:00,GGB\' 2Q Up on Y/Y comp.
2012-08-07 05:01:00,Gerdau SA (GGB): Today\'s Featured Metals & Mining Laggard
2012-08-10 05:21:00,The Olympics are Coming to Brazil - Why Now is the Time to Buy
2012-08-15 01:55:00,Brazil stocks slip; Walmex paces Mexicos losses
2012-08-15 07:03:00,Brazil stocks up; Walmex hit in Mexico City
2012-08-21 01:52:00,"6 Large-Cap Basic Materials Stocks Set For Growth, With Buy Ratings From Analysts"
2012-08-23 01:12:00,Local Sentiment In Brazil Shows Skepticism About Notable Q3 Economic Recovery-Deutsche Bank
2012-08-24 01:29:00,Latin America\'s China Addiction (Part 2): Are Commodity Prices Showing Signs Of Recovery?
2012-08-27 05:01:00,Gerdau SA (GGB): Today\'s Featured Basic Materials Laggard
2012-08-29 11:04:00,GGB Crosses Below Key Moving Average Level
2012-08-30 05:13:00,Breaking The Trend Line Can Act As A Sell Signal
2012-08-30 10:06:00,"Equity Briefing: Upgrades and Downgrades for August 29th: ADSK, BMO, CNMD, CPHD, FENG, FRED, GGB, HNZ, HOT"
